2740	RT _Mention_ : Apec leaders call for trade area _URL_
2741	"RT _Mention_ : Baby and girl ,2 , found in city _URL_"
2742	RT _Mention_ : Brain cooling ` could save lives ' _URL_
2743	RT _Mention_ : Christopher Hitchens on his ` living ' cancer _URL_
2744	RT _Mention_ : Concerns over increase in rickets _URL_
2745	RT _Mention_ : David Cameron on Cornwall floods : we stand by to help in whatever way we can
2746	RT _Mention_ : Freed Suu Kyi addresses followers _URL_
2747	RT _Mention_ : Global reaction to Suu Kyi release _URL_
2748	RT _Mention_ : Haye stops Harrison to keep title _URL_
2749	RT _Mention_ : Iain Duncan Smith admits figures he used in Commons housing debate came from property website not Office of National Statistics
2750	RT _Mention_ : Literacy standards ` fall short ' _URL_
2751	RT _Mention_ : Live - Saturday boxing _URL_
2752	RT _Mention_ : Man found dead after explosion _URL_
2753	RT _Mention_ : New phone hack file handed over _URL_
2754	RT _Mention_ : Official figures for October show the Consumer Prices Index increased to 3.2 % but Retail Prices Index inflation was unchang ...
2755	RT _Mention_ : People ` denied ' die at home wish _URL_
2756	RT _Mention_ : Pontin 's goes into administration _URL_
2757	RT _Mention_ : Scots revenue powers ` to expand ' _URL_
2758	RT _Mention_ : Scots ski season gets under way _URL_
2759	RT _Mention_ : Seven people die in French fire _URL_
2760	RT _Mention_ : SNCF ` sorrow ' over Holocaust role _URL_
2761	RT _Mention_ : Students plan non-violent tactics _URL_
2762	RT _Mention_ : War dead remembered at services _URL_
2763	RT _Mention_ : Pamela Anderson to join Indian BB : Former Baywatch star Pamela Anderson is join the Indian version of Big Brother . _URL_ ...
2764	RT _Mention_ : Businesses concerned by water use _URL_
2765	RT _Mention_ : Butterflies on the brink _URL_
2766	RT _Mention_ : Dino 's oldest embryos unearthed _URL_
2767	RT _Mention_ : Earth 's pull ` shaped Moon 's surface ' _URL_
2768	RT _Mention_ : Science of how cats get the cream _URL_
2769	RT _Mention_ : Snow bear fight as pair meet up _URL_
2770	RT _Mention_ : Top computers ` to fit sugar cube ' _URL_
2771	RT _Mention_ : Turtles breathe in for buoyancy _URL_
2772	RT _Mention_ : I want Hamilton on pole - Alonso _URL_
2773	RT _Mention_ : Pacquiao wins WBC title on points _URL_
2774	RT _Mention_ : Tottenham 4-2 Blackburn _URL_
2775	RT _Mention_ : The thief in your pocket ? _URL_
2776	RT _Mention_ : ` Ignored ' _URL_
2777	RT _Mention_ : Activists win ` integrity ' award _URL_
2778	RT _Mention_ : Adams ` to contest Irish election ' _URL_
2779	RT _Mention_ : Apec leaders call for trade area _URL_
2780	RT _Mention_ : British Gas to raise bills by 7 % _URL_
2781	RT _Mention_ : British MI5 officer will not be charged over claims he was linked to alleged torture of former Guantanamo detainee Binyam ...
2782	RT _Mention_ : Chelsea part company with Wilkins _URL_
2783	RT _Mention_ : De Niro to receive lifetime Globe _URL_
2784	RT _Mention_ : Dutch soldiers ` blew up own car ' _URL_
2785	RT _Mention_ : Engine fault to hit Rolls profits _URL_
2786	RT _Mention_ : Film-maker Berlanga dies aged 89 _URL_
2787	RT _Mention_ : Freed Suu Kyi addresses followers _URL_
2788	RT _Mention_ : French cabinet quits ahead of reshuffle _URL_
2789	RT _Mention_ : German Interior Minister : heightened threat of terror attack
2790	RT _Mention_ : Haye stops Harrison to keep title _URL_
2791	RT _Mention_ : Haye unfazed by weight difference _URL_
2792	RT _Mention_ : Haye unfazed by weight difference _URL_
2793	RT _Mention_ : Live - autumn rugby internationals _URL_
2794	RT _Mention_ : Live text - Murray v Monfils _URL_
2795	RT _Mention_ : New phone hack file handed over _URL_
2796	RT _Mention_ : No local ` costumes ' for APEC leaders _URL_
2797	RT _Mention_ : Nobel laureates make nuclear call _URL_
2798	RT _Mention_ : Pacquiao wins WBC title on points _URL_
2799	RT _Mention_ : Police ` killed DR Congo activist ' _URL_
2800	RT _Mention_ : Pontin 's goes into administration _URL_
2801	RT _Mention_ : Schools facing funding overhaul _URL_
2802	RT _Mention_ : Seven people die in French fire _URL_
2803	RT _Mention_ : SNCF ` sorrow ' over Holocaust role _URL_
2804	"RT _Mention_ : The Glazer family , who own Manchester United say they are to use their own money to pay off # 220m of high interest loans ."
2805	RT _Mention_ : Urban v rural _URL_
2806	RT _Mention_ : Urban v rural _URL_
2807	RT _Mention_ : Year in custody for Palin hacker _URL_
2808	RT _Mention_ : Beady Eye 's first UK dates sold out in 30 minutes this morning _HASHTAG_
2809	RT _Mention_ : Beady Eye 's gig at the Casino de Paris is now sold out ! _HASHTAG_
2810	RT _Mention_ : Beady Eye 's gig in Brussels has now sold out !
2811	"RT _Mention_ : On this date in 1969 : As a protest against Britain 's military involvement in foreign conflicts , John Lennon returns his ..."
2812	RT _Mention_ : A good friend understands you even when your thoughts arent fitting into words .
2813	RT _Mention_ : A pop-up experience celebrating Michael Jordan and his namesake Air Jordans : : _URL_
2814	RT _Mention_ : Hugh Hefner is 84 and engaged to a 24 year old ? She 's not a gold digger . More like a grave digger .
2815	RT _Mention_ : Want to make this Thanksgiving one to remember for years to come ? Tell your parents that you 're gay at the dinner t ...
2816	RT _Mention_ : Christian Bale Thinks The Dark Knight Rises Will be his Last Batman Movie _URL_
2817	RT _Mention_ : KANYE WEST DARK TWISTED FANTASY-11 \/ 22\/10
2818	RT _Mention_ : _HASHTAG_ : Netanyahu told Ackerman that he didnt feel boxed in politically & that his coalition reflects the demands of ...
2819	"`` RT _Mention_ : Netanyahu : '' `` We Need to expose our enemies '' , '' delegitimize those that delegitimize _HASHTAG_ '' '' ''"
2820	RT _Mention_ : RT if you want _Mention_ to follow you ! -LRB- she 's not following me -RRB- ! : -LRB-
2821	"RT _Mention_ : _Mention_ actually , it is in Ontario , Canada . i live in a place with 80,000 + people , they call it a small town ."
2822	`` RT _Mention_ : RT _Mention_ : RT _Mention_ : I Miss The Summer Days Smh \* Sighs \* '' '' \/ ''
2823	RT _Mention_ : _URL_ - Bill Maher 's Political World : The comic brings his take no prisoners approach to Caesars Atlantic ...
2824	RT _Mention_ : All Billy Cox books ordered this holiday season will be autographed for you and your team . _URL_
2825	RT _Mention_ : God works where there is an attitude of faith . - Joel Osteen _HASHTAG_
2826	RT _Mention_ : The future belongs to those who give the next generation reason for hope.-Pierre Teilhard De Chardin
2827	"RT _Mention_ : Julian Fantino is so tough that if he landed on my plate in a steakhouse , I 'd send him back . _HASHTAG_ !"
2828	RT _Mention_ : Dominic McGuire returned from a stress fracture in his shin to practice for the first time on Wednesday _URL_ ...
2829	RT _Mention_ : : : Charlotte Bobcats Top 10 Plays of 2008-2009 _URL_
2830	RT _Mention_ : _Mention_ ray Lewis and his pre game speeches could motivate me 2 rob a bank !
2831	RT _Mention_ Travis Porter be bring the freaks out on a Sunday . LOL ? ai n't nuthin but the devil
2832	RT _Mention_ : Jennifer Biel is soooooo bangin . Wtf ?
2833	"RT _Mention_ : Every little thing that we do , should be between me & you ."
2834	RT _Mention_ : About 100 commuters stuck on New Jersey Transit train due to damage to overhead wires ; delays of up to an hour http : \/ \/ ...
2835	"RT _Mention_ : Salmonella outbreak , possibly linked to sprouts served at Jimmy Johns restaurants , has sickened 89 people in 15 states ..."
2836	"RT _Mention_ : Son of fraudster Bernie Madoff to be cremated , no funeral service in suicide - CNBC"
2837	RT _Mention_ : Woman accused of slashing Leonardo DiCaprio 's face cuts plea deal expected to result in two-year prison sentence -- TM ...
2838	`` RT _Mention_ : Watch Bret Michaels ' '' `` What I Got '' '' video now ! This video is a very special tribute to all the fans for their support ! h ... ''
2839	RT _Mention_ : Is Mr Cowell allergic to stairs ? What 's the deal ? C'mon now !
2840	"RT _Mention_ : Willie Nelson busted for pot possession . Related news , Cops issued an APB for the immediate apprehension of the sky for ..."
2841	RT _Mention_ : _HASHTAG_ is heel belangrijk voor me . ? _Mention_ Hahaha
2842	RT _Mention_ : Yall know that artwork Kanye used on all his Good Friday covers ? People are really abusing the shit out of that style .
2843	"RT _Mention_ : it breaks your heart to see the one you love is happy with someone else , but more painful to know that the one you love"
2844	"RT _Mention_ : ` Lennon Naked ' : Thirty years after John Lennon 's death , filmmakers are trying make sense out of his life . In the ... ..."
2845	RT _Mention_ : We are giving away a _HASHTAG_ pair of _HASHTAG_ grips for the _HASHTAG_  _HASHTAG_ or _HASHTAG_ every day ! Just follow & RT to enter
